type,is_pyramid,units,entry_date,exit_date,entry_price,exit_price,raw_pnl,pnl,holding_days
Long,False,1.0,2025-04-11 14:00:00,2025-04-14 22:00:00,3194.2,3249.7,55.5,52.95,3
Long,True,1.5,2025-04-11 22:00:00,2025-04-14 22:00:00,3214.9,3249.7,34.8,48.37,3
Long,False,1.0,2025-04-15 14:00:00,2025-04-16 06:00:00,3226.1,3229.9,3.8,2.75,1
Long,False,1.0,2025-04-16 14:00:00,2025-04-17 22:00:00,3248.4,3342.6,94.2,93.15,1
Long,True,1.5,2025-04-17 14:00:00,2025-04-17 22:00:00,3357.5,3342.6,-14.9,-22.8,0
Long,False,1.0,2025-04-21 14:00:00,2025-04-23 06:00:00,3347.0,3431.0,84.0,82.2,2
Long,True,1.5,2025-04-22 14:00:00,2025-04-23 06:00:00,3435.1,3431.0,-4.1,-7.72,1
Long,False,1.0,2025-04-24 14:00:00,2025-04-25 06:00:00,3301.8,3326.5,24.7,23.65,1
Long,False,1.0,2025-04-25 14:00:00,2025-04-25 22:00:00,3362.0,3303.8,-58.2,-58.5,0
Long,False,1.0,2025-04-28 14:00:00,2025-04-28 22:00:00,3336.5,3305.4,-31.1,-31.4,0
Long,False,1.0,2025-04-29 14:00:00,2025-04-29 22:00:00,3354.9,3320.5,-34.4,-34.7,0
Long,False,1.0,2025-05-06 06:00:00,2025-05-07 22:00:00,3324.4,3396.2,71.8,70.75,1
Long,True,1.0,2025-05-07 14:00:00,2025-05-07 22:00:00,3448.1,3396.2,-51.9,-52.2,0
Long,False,1.0,2025-05-08 06:00:00,2025-05-08 14:00:00,3402.3,3373.1,-29.2,-29.5,0
Long,False,1.0,2025-05-09 06:00:00,2025-05-09 14:00:00,3361.6,3310.2,-51.4,-51.7,0
Long,False,1.0,2025-05-09 22:00:00,2025-05-12 14:00:00,3325.8,3281.0,-44.8,-47.35,3
Long,False,1.0,2025-05-21 14:00:00,2025-05-22 06:00:00,3293.0,3306.0,13.0,11.95,1
Long,False,1.0,2025-05-22 14:00:00,2025-05-23 06:00:00,3318.0,3286.8,-31.2,-32.25,1
Long,False,1.0,2025-05-23 14:00:00,2025-05-26 22:00:00,3295.1,3346.6,51.5,48.95,3
Long,False,1.0,2025-05-27 14:00:00,2025-05-27 22:00:00,3342.8,3322.6,-20.2,-20.5,0
Long,False,1.0,2025-05-28 14:00:00,2025-05-29 06:00:00,3300.9,3303.7,2.8,1.75,1
Long,False,1.0,2025-05-29 22:00:00,2025-05-30 22:00:00,3296.4,3327.0,30.6,29.55,1
Long,True,1.5,2025-05-30 14:00:00,2025-05-30 22:00:00,3343.2,3327.0,-16.2,-24.75,0
Long,False,1.0,2025-06-02 14:00:00,2025-06-03 22:00:00,3323.0,3389.9,66.9,65.85,1
Long,True,1.5,2025-06-03 14:00:00,2025-06-03 22:00:00,3406.5,3389.9,-16.6,-25.35,0
Long,False,1.0,2025-06-04 14:00:00,2025-06-04 22:00:00,3377.8,3374.5,-3.3,-3.6,0
Long,False,1.0,2025-06-05 06:00:00,2025-06-05 22:00:00,3377.3,3387.5,10.2,9.9,0
Long,True,1.5,2025-06-05 14:00:00,2025-06-05 22:00:00,3398.0,3387.5,-10.5,-16.2,0
Long,False,1.0,2025-06-06 06:00:00,2025-06-06 14:00:00,3401.9,3377.4,-24.5,-24.8,0
Long,False,1.0,2025-06-06 22:00:00,2025-06-07 06:00:00,3389.4,3365.4,-24.0,-25.05,1
Long,False,1.0,2025-06-11 06:00:00,2025-06-11 14:00:00,3364.6,3344.3,-20.3,-20.6,0
Long,False,1.0,2025-06-11 22:00:00,2025-06-12 06:00:00,3360.6,3350.5,-10.1,-11.15,1
Long,False,1.0,2025-06-12 14:00:00,2025-06-13 14:00:00,3377.5,3406.7,29.2,28.15,1
Long,False,1.0,2025-06-13 22:00:00,2025-06-16 14:00:00,3447.2,3473.0,25.8,23.25,3
Long,True,1.5,2025-06-14 06:00:00,2025-06-16 14:00:00,3457.3,3473.0,15.7,20.85,2
Long,False,1.0,2025-06-17 22:00:00,2025-06-18 06:00:00,3410.8,3409.6,-1.2,-2.25,1
Long,False,1.0,2025-06-19 06:00:00,2025-06-19 14:00:00,3411.1,3387.1,-24.0,-24.3,0
Long,False,1.0,2025-06-24 06:00:00,2025-06-24 14:00:00,3396.3,3383.8,-12.5,-12.8,0
Short,False,1.0,2025-06-30 22:00:00,2025-07-01 22:00:00,3299.7,3340.1,-40.4,-40.43,1
