type,is_pyramid,units,entry_date,entry_price,exit_date,exit_price,stop_price,pnl_points,holding_hours,exit_reason,trade_id
Long,False,1.0,2025-10-01 00:00:00,3839.04,2025-10-01 12:00:00,3862.07,3812.56,22.73,0,Signal Exit,425
Long,True,2.0,2025-10-01 04:00:00,3859.06,2025-10-01 12:00:00,3862.07,3812.56,5.42,0,Signal Exit,426
Long,False,1.0,2025-10-01 16:00:00,3879.12,2025-10-02 00:00:00,3868.48,3827.33,-11.69,24,Signal Exit,427
Long,True,2.0,2025-10-01 20:00:00,3883.69,2025-10-02 00:00:00,3868.48,3827.33,-32.52,24,Signal Exit,428
Long,False,1.0,2025-10-02 12:00:00,3866.56,2025-10-03 00:00:00,3828.1,3836.88,-39.51,24,Stop Loss Exit,429
Long,True,2.0,2025-10-02 16:00:00,3868.52,2025-10-03 00:00:00,3828.1,3836.88,-82.94,24,Stop Loss Exit,430
Long,False,1.0,2025-10-03 04:00:00,3855.63,2025-10-03 12:00:00,3842.66,3803.19,-13.27,0,Signal Exit,431
Long,False,1.0,2025-10-03 16:00:00,3864.44,2025-10-03 20:00:00,3862.11,3813.05,-2.63,0,Signal Exit,432
Long,False,1.0,2025-10-04 00:00:00,3889.49,2025-10-04 04:00:00,3885.69,3829.84,-4.1,0,Signal Exit,433
Long,False,1.0,2025-10-06 04:00:00,3887.05,2025-10-06 20:00:00,3938.11,3873.48,50.76,0,Signal Exit,434
Long,True,2.0,2025-10-06 08:00:00,3909.54,2025-10-06 20:00:00,3938.11,3873.48,56.54,0,Signal Exit,435
Long,False,1.0,2025-10-07 00:00:00,3962.48,2025-10-07 04:00:00,3959.46,3899.08,-3.32,0,Signal Exit,436
Long,False,1.0,2025-10-07 08:00:00,3969.55,2025-10-07 16:00:00,3945.93,3923.47,-23.92,0,Signal Exit,437
Long,True,2.0,2025-10-07 12:00:00,3973.58,2025-10-07 16:00:00,3945.93,3932.58,-55.9,0,Signal Exit,438
Long,False,1.0,2025-10-07 20:00:00,3966.89,2025-10-08 00:00:00,3966.5,3916.58,-1.44,24,Signal Exit,439
Long,False,1.0,2025-10-08 04:00:00,3980.3,2025-10-09 04:00:00,4044.98,3958.2,63.63,24,Signal Exit,440
Long,True,2.0,2025-10-08 08:00:00,3994.43,2025-10-09 04:00:00,4044.98,3958.2,99.0,24,Signal Exit,441
Long,False,1.0,2025-10-09 12:00:00,4026.93,2025-10-10 00:00:00,4014.54,3995.67,-13.44,24,Signal Exit,442
Long,True,2.0,2025-10-09 16:00:00,4031.56,2025-10-10 00:00:00,4014.54,3995.67,-36.14,24,Signal Exit,443
Long,False,1.0,2025-10-10 08:00:00,3989.72,2025-10-10 12:00:00,3962.0,3912.49,-28.02,0,Signal Exit,444
Long,False,1.0,2025-10-10 20:00:00,3987.26,2025-10-14 16:00:00,4126.06,4071.95,135.5,96,Signal Exit,445
Long,True,2.0,2025-10-13 08:00:00,4035.07,2025-10-14 16:00:00,4126.06,4071.95,179.88,24,Signal Exit,446
Long,False,1.0,2025-10-14 20:00:00,4130.6,2025-10-15 20:00:00,4198.84,4118.13,67.19,24,Signal Exit,447
Long,True,2.0,2025-10-15 00:00:00,4137.86,2025-10-15 20:00:00,4198.84,4118.13,121.36,0,Signal Exit,448
Long,False,1.0,2025-10-16 04:00:00,4210.23,2025-10-16 08:00:00,4209.08,4137.67,-1.45,0,Signal Exit,449
Long,False,1.0,2025-10-16 12:00:00,4233.87,2025-10-16 16:00:00,4230.75,4161.77,-3.42,0,Signal Exit,450
Long,False,1.0,2025-10-16 20:00:00,4240.59,2025-10-17 16:00:00,4342.28,4222.83,100.64,24,Signal Exit,451
Long,True,2.0,2025-10-17 00:00:00,4273.52,2025-10-17 16:00:00,4342.28,4222.83,136.92,0,Signal Exit,452
Long,False,1.0,2025-10-20 04:00:00,4243.5,2025-10-20 08:00:00,4237.82,4134.12,-5.98,0,Signal Exit,453
Long,False,1.0,2025-10-20 12:00:00,4264.75,2025-10-20 16:00:00,4255.23,4163.38,-9.82,0,Signal Exit,454
Long,False,1.0,2025-10-20 20:00:00,4278.47,2025-10-21 08:00:00,4360.36,4212.67,80.84,24,Signal Exit,455
Long,True,2.0,2025-10-21 04:00:00,4377.99,2025-10-21 08:00:00,4360.36,4212.67,-35.86,0,Signal Exit,456
Long,False,1.0,2025-10-31 04:00:00,4023.32,2025-10-31 12:00:00,3996.32,3946.96,-27.3,0,Signal Exit,457
Long,False,1.0,2025-10-31 16:00:00,4021.12,2025-10-31 20:00:00,4010.44,3943.99,-10.98,0,Signal Exit,458
Long,False,1.0,2025-11-01 00:00:00,4012.74,2025-11-01 04:00:00,4000.97,3955.86,-12.07,0,Signal Exit,459
Long,False,1.0,2025-11-03 04:00:00,3983.73,2025-11-03 08:00:00,3979.55,3930.87,-4.48,0,Signal Exit,460
